subj_idx,species,coh,rt,response,subjectID
238,human,0.06,1.596858,0,459
238,human,0.16,1.047412,1,459
238,human,0.08,0.664168,1,459
238,human,0.06,1.24704,1,459
238,human,0.08,0.68042,1,459
238,human,0.06,0.630586,1,459
238,human,0.12,0.780553,1,459
238,human,0.02,0.63069,1,459
238,human,0.16,0.630462,1,459
238,human,0.02,0.896972,1,459
238,human,0.08,0.61417,1,459
238,human,0.06,1.247028,1,459
238,human,0.08,0.713661,1,459
238,human,0.06,0.81361,1,459
238,human,0.08,0.86379,1,459
238,human,0.06,0.880215,1,459
238,human,0.02,1.363383,1,459
238,human,0.08,0.6474,1,459
238,human,0.12,0.580467,1,459
238,human,0.08,1.297049,1,459
238,human,0.32,0.530886,1,459
238,human,0.32,0.563975,1,459
238,human,0.08,0.730337,1,459
238,human,0.08,0.564062,1,459
238,human,0.16,0.513814,1,459
238,human,0.08,1.163881,1,459
238,human,0.02,1.530202,0,459
238,human,0.04,1.597219,1,459
238,human,0.12,0.580603,1,459
238,human,0.02,0.880314,1,459
238,human,0.06,0.996821,0,459
238,human,0.06,1.180571,1,459
238,human,0.04,0.797213,1,459
238,human,0.12,0.51382,1,459
238,human,0.06,1.097151,1,459
238,human,0.08,0.613772,1,459
238,human,0.16,0.64735,1,459
238,human,0.08,0.630613,1,459
238,human,0.24,0.564842,1,459
238,human,0.06,0.830536,1,459
238,human,0.12,0.580436,1,459
238,human,0.08,0.547128,1,459
238,human,0.12,1.130606,1,459
238,human,0.12,0.547368,1,459
238,human,0.08,0.597359,1,459
238,human,0.24,0.713934,1,459
238,human,0.12,1.296989,1,459
238,human,0.06,1.296836,1,459
238,human,0.12,0.564021,1,459
238,human,0.32,0.513806,1,459
238,human,0.06,0.613982,1,459
238,human,0.06,0.88094,1,459
238,human,0.02,0.597681,0,459
238,human,0.16,0.53096,1,459
238,human,0.08,0.89764,1,459
238,human,0.04,0.730413,1,459
238,human,0.08,0.530721,1,459
238,human,0.16,0.630663,1,459
238,human,0.02,0.813896,0,459
238,human,0.08,0.648992,1,459
238,human,0.32,0.613942,1,459
238,human,0.12,0.599618,1,459
238,human,0.04,1.730297,1,459
238,human,0.32,0.547263,1,459
238,human,0.06,1.54667,1,459
238,human,0.04,1.430069,1,459
238,human,0.32,0.713951,1,459
238,human,0.04,0.698871,1,459
238,human,0.02,1.363824,1,459
238,human,0.06,1.647029,1,459
238,human,0.06,0.714343,1,459
238,human,0.04,1.880212,1,459
238,human,0.04,0.664276,1,459
238,human,0.12,0.597179,1,459
238,human,0.12,0.66393,1,459
238,human,0.24,0.59715,1,459
238,human,0.02,1.446608,1,459
238,human,0.06,1.580043,0,459
238,human,0.32,0.585723,1,459
238,human,0.06,1.596868,1,459
238,human,0.06,0.731063,1,459
238,human,0.02,0.963832,0,459
238,human,0.08,0.964955,1,459
238,human,0.08,0.680859,1,459
238,human,0.12,0.647582,1,459
238,human,0.16,0.730713,1,459
238,human,0.32,0.531193,1,459
238,human,0.02,1.513406,1,459
238,human,0.06,1.014,1,459
238,human,0.12,0.68059,1,459
238,human,0.04,1.213486,0,459
238,human,0.12,0.514338,1,459
238,human,0.08,0.74726,1,459
238,human,0.12,0.580525,1,459
238,human,0.06,0.730354,1,459
238,human,0.12,0.70416,1,459
238,human,0.32,0.580685,1,459
238,human,0.04,1.0135,1,459
238,human,0.12,0.747598,1,459
238,human,0.06,0.996886,1,459
238,human,0.02,1.563881,1,459
238,human,0.06,0.781004,1,459
238,human,0.02,1.763618,1,459
238,human,0.04,0.763866,1,459
238,human,0.04,1.130334,1,459
238,human,0.08,0.697065,1,459
238,human,0.02,0.530455,0,459
238,human,0.12,0.66436,1,459
238,human,0.32,0.614178,1,459
238,human,0.08,0.630746,1,459
238,human,0.06,0.663847,1,459
238,human,0.04,0.597783,0,459
238,human,0.08,0.647755,1,459
238,human,0.08,1.414041,1,459
238,human,0.02,1.563478,1,459
238,human,0.08,0.66392,1,459
238,human,0.24,0.563824,1,459
238,human,0.08,0.547302,1,459
238,human,0.24,0.730595,1,459
238,human,0.12,0.597324,1,459
238,human,0.04,1.913334,1,459
238,human,0.04,1.563307,0,459
238,human,0.02,1.83051,1,459
238,human,0.06,0.730608,1,459
238,human,0.06,0.714029,1,459
238,human,0.06,1.113554,1,459
238,human,0.06,0.547568,1,459
238,human,0.02,0.813614,1,459
238,human,0.04,0.580893,0,459
238,human,0.12,0.780983,1,459
238,human,0.08,0.59708,1,459
238,human,0.06,0.630494,1,459
238,human,0.06,1.263882,1,459
238,human,0.08,0.547374,1,459
238,human,0.12,0.670715,1,459
238,human,0.08,2.01331,1,459
238,human,0.06,0.597219,1,459
238,human,0.08,1.197063,1,459
238,human,0.12,0.63105,1,459
238,human,0.06,0.514089,1,459
238,human,0.04,1.679873,0,459
238,human,0.12,0.697399,1,459
238,human,0.06,0.547554,1,459
238,human,0.08,0.647321,1,459
238,human,0.08,0.48065,1,459
238,human,0.24,0.663705,1,459
238,human,0.16,1.796773,1,459
238,human,0.06,1.147401,1,459
238,human,0.32,0.564397,1,459
238,human,0.04,1.130094,1,459
238,human,0.08,0.830651,1,459
238,human,0.16,0.73101,1,459
238,human,0.06,1.180637,1,459
238,human,0.02,0.714348,1,459
238,human,0.06,0.56397,1,459
238,human,0.02,1.629958,1,459
238,human,0.12,0.730407,1,459
238,human,0.12,0.619753,1,459
238,human,0.16,0.581139,1,459
238,human,0.08,0.813565,1,459
238,human,0.12,0.630837,1,459
238,human,0.06,1.280324,1,459
238,human,0.24,0.713926,1,459
238,human,0.24,0.664167,1,459
238,human,0.16,0.614185,1,459
238,human,0.08,0.68077,1,459
238,human,0.12,0.613977,1,459
238,human,0.04,1.363417,1,459
238,human,0.06,1.796538,0,459
238,human,0.06,1.414007,0,459
238,human,0.04,1.580388,1,459
238,human,0.12,0.630647,1,459
238,human,0.02,0.763834,1,459
238,human,0.06,2.679415,0,459
238,human,0.06,0.764098,1,459
238,human,0.08,0.780404,1,459
238,human,0.06,0.563808,1,459
238,human,0.06,0.714157,1,459
238,human,0.06,1.230689,1,459
238,human,0.06,0.530799,1,459
238,human,0.08,0.54734,1,459
238,human,0.08,1.34642,1,459
238,human,0.08,1.296721,1,459
238,human,0.32,0.963576,1,459
238,human,0.16,0.630827,1,459
238,human,0.08,0.946937,1,459
238,human,0.12,0.563771,1,459
238,human,0.06,0.664047,1,459
238,human,0.16,0.580854,1,459
238,human,0.08,1.180728,1,459
238,human,0.08,0.547714,1,459
238,human,0.08,0.564001,1,459
238,human,0.24,0.597121,1,459
238,human,0.16,0.547488,0,459
238,human,0.12,2.479693,1,459
238,human,0.08,1.063992,1,459
238,human,0.02,1.214169,1,459
238,human,0.24,0.514382,1,459
238,human,0.32,0.564388,1,459
238,human,0.12,0.62106,1,459
238,human,0.04,0.630782,1,459
238,human,0.08,0.681528,1,459
238,human,0.06,0.814295,1,459
238,human,0.32,0.580456,1,459
238,human,0.12,0.497088,1,459
238,human,0.24,0.530465,1,459
238,human,0.24,0.547333,1,459
238,human,0.12,0.663815,1,459
238,human,0.08,0.569742,1,459
238,human,0.06,0.597706,1,459
238,human,0.04,1.397118,1,459
238,human,0.12,0.780478,1,459
238,human,0.08,0.730906,1,459
238,human,0.12,0.614031,1,459
238,human,0.06,0.65245,1,459
238,human,0.02,0.913596,1,459
238,human,0.02,1.863545,1,459
238,human,0.08,0.563847,1,459
238,human,0.04,0.59742,1,459
238,human,0.16,0.513969,1,459
238,human,0.04,0.587726,1,459
238,human,0.32,0.580438,1,459
238,human,0.08,0.514188,1,459
238,human,0.06,0.613762,1,459
238,human,0.06,0.497092,0,459
238,human,0.16,0.713723,1,459
238,human,0.08,0.580847,1,459
238,human,0.08,1.097051,1,459
238,human,0.12,0.530569,1,459
238,human,0.06,0.613953,1,459
238,human,0.24,0.480678,1,459
238,human,0.06,1.446672,0,459
238,human,0.08,0.647685,1,459
238,human,0.04,1.413803,1,459
238,human,0.32,0.597072,1,459
238,human,0.32,0.56382,1,459
238,human,0.12,0.730595,1,459
238,human,0.02,1.230505,1,459
238,human,0.12,0.513811,1,459
238,human,0.32,0.497188,1,459
238,human,0.04,0.680563,1,459
