subj_idx,species,coh,rt,response,subjectID
8,rat,0.8,0.577525,1,381
8,rat,1,0.617518,1,381
8,rat,0.7,0.867501,0,381
8,rat,0.6,0.707522,0,381
8,rat,0.7,0.557495,1,381
8,rat,0.8,0.527541,1,381
8,rat,0.7,0.667558,0,381
8,rat,0.6,0.567484,1,381
8,rat,0.6,0.777518,1,381
8,rat,0.8,0.78755,1,381
8,rat,0.6,1.037503,1,381
8,rat,0.6,0.76754,0,381
8,rat,0.7,0.57758,1,381
8,rat,0.8,0.637555,0,381
8,rat,0.8,0.487573,1,381
8,rat,0.7,0.677508,1,381
8,rat,1,0.817524,0,381
8,rat,0.7,0.577479,0,381
8,rat,0.7,0.657544,0,381
8,rat,0.7,0.637568,0,381
8,rat,0.6,0.631482,1,381
8,rat,1,0.727507,1,381
8,rat,0.9,0.867555,1,381
8,rat,0.8,1.637564,1,381
8,rat,0.7,1.247433,1,381
8,rat,0.6,1.267548,1,381
8,rat,1,0.707554,1,381
8,rat,0.6,0.647517,1,381
8,rat,0.8,0.937555,1,381
8,rat,1,1.177538,1,381
8,rat,1,0.967548,1,381
8,rat,0.9,0.717544,1,381
8,rat,0.9,1.247528,1,381
8,rat,0.7,1.567545,0,381
8,rat,0.6,0.497547,1,381
8,rat,0.7,0.527563,0,381
8,rat,1,0.707535,0,381
8,rat,0.8,0.927538,1,381
8,rat,0.8,1.377547,1,381
8,rat,1,0.927533,1,381
8,rat,1,0.857428,1,381
8,rat,0.8,0.777548,1,381
8,rat,0.7,1.087426,1,381
8,rat,0.9,0.677544,1,381
8,rat,0.9,0.547506,1,381
8,rat,0.8,1.297491,1,381
8,rat,0.8,0.757552,1,381
8,rat,0.7,0.887589,1,381
8,rat,0.7,1.287534,1,381
8,rat,0.6,1.147477,1,381
8,rat,0.9,0.82749,0,381
8,rat,0.7,0.677553,0,381
8,rat,0.9,1.077651,1,381
8,rat,0.9,0.617559,1,381
8,rat,0.9,0.527597,1,381
8,rat,0.6,0.727578,0,381
8,rat,0.8,0.787489,1,381
8,rat,0.6,0.677575,0,381
8,rat,0.9,1.087612,0,381
8,rat,0.9,0.72747,0,381
8,rat,0.6,0.677568,0,381
8,rat,1,0.687523,1,381
8,rat,0.9,1.267503,1,381
8,rat,0.7,0.767455,1,381
8,rat,0.7,0.787587,1,381
8,rat,0.8,0.907539,1,381
8,rat,0.7,1.787491,1,381
8,rat,0.9,1.187567,1,381
8,rat,0.8,0.667519,1,381
8,rat,0.9,0.567532,0,381
8,rat,1,0.967497,1,381
8,rat,1,0.747563,1,381
8,rat,0.6,0.797498,0,381
8,rat,1,0.647517,1,381
8,rat,0.8,0.727558,1,381
8,rat,0.7,1.457557,1,381
8,rat,0.7,1.287597,1,381
8,rat,0.9,1.257458,1,381
8,rat,0.6,0.777473,1,381
8,rat,0.7,0.787605,1,381
8,rat,0.9,0.627555,1,381
8,rat,0.7,1.2675,1,381
8,rat,0.6,1.697598,1,381
8,rat,0.8,0.867549,0,381
8,rat,1,0.757485,1,381
8,rat,0.7,0.677499,0,381
8,rat,0.8,0.537552,1,381
8,rat,1,0.907565,1,381
8,rat,0.8,0.787533,1,381
8,rat,0.9,0.697556,1,381
8,rat,0.6,1.387505,1,381
8,rat,0.7,1.087555,1,381
8,rat,0.9,0.74753,1,381
8,rat,0.9,0.917563,1,381
8,rat,0.9,0.777504,0,381
8,rat,0.9,0.80746,1,381
8,rat,0.9,0.997527,1,381
8,rat,0.8,0.727558,1,381
8,rat,0.9,0.817569,1,381
8,rat,1,1.377504,1,381
8,rat,0.9,1.297512,1,381
8,rat,0.9,0.737496,1,381
8,rat,0.6,0.987537,1,381
8,rat,0.8,0.667239,1,381
8,rat,0.9,0.697527,1,381
8,rat,0.9,0.797543,1,381
8,rat,0.6,0.767566,0,381
8,rat,0.8,0.517039,1,381
8,rat,0.8,0.597568,1,381
8,rat,0.8,0.757532,1,381
8,rat,0.6,0.667526,1,381
8,rat,0.6,0.807513,0,381
8,rat,1,0.807528,1,381
8,rat,0.7,0.767513,0,381
8,rat,0.6,0.737438,1,381
8,rat,0.9,0.697501,1,381
8,rat,0.8,0.647515,1,381
8,rat,0.8,0.817565,1,381
8,rat,0.6,0.637474,0,381
8,rat,1,0.597511,1,381
8,rat,0.8,0.597523,1,381
8,rat,0.8,0.667528,1,381
8,rat,0.9,0.647481,1,381
8,rat,0.7,0.847553,1,381
8,rat,0.6,0.727558,0,381
8,rat,0.7,0.817551,0,381
8,rat,1,0.617571,1,381
8,rat,0.6,0.657551,1,381
8,rat,0.9,1.077495,1,381
8,rat,0.6,0.85756,1,381
8,rat,0.9,0.667524,1,381
8,rat,0.9,0.697533,0,381
8,rat,0.9,0.757504,1,381
8,rat,1,0.627555,1,381
8,rat,0.7,1.007489,1,381
8,rat,0.7,0.937531,1,381
8,rat,0.7,0.777541,0,381
8,rat,0.8,0.557536,0,381
8,rat,1,0.667566,1,381
8,rat,1,1.197528,1,381
8,rat,1,1.287557,1,381
8,rat,0.8,0.717525,1,381
8,rat,0.7,0.527517,1,381
8,rat,0.8,0.847536,1,381
8,rat,0.7,1.417434,1,381
8,rat,0.8,0.707543,1,381
8,rat,1,0.937568,1,381
8,rat,0.8,0.777555,0,381
8,rat,0.9,0.707523,1,381
8,rat,1,0.887535,1,381
8,rat,0.6,0.877499,1,381
8,rat,0.8,0.627546,1,381
8,rat,1,1.027486,1,381
8,rat,0.9,1.157702,1,381
8,rat,1,0.947538,1,381
8,rat,0.8,0.637445,0,381
8,rat,0.8,0.767527,1,381
8,rat,0.6,0.597614,0,381
8,rat,0.8,0.747557,1,381
8,rat,1,0.557552,1,381
8,rat,0.6,0.597549,1,381
8,rat,0.8,0.817557,1,381
8,rat,0.8,0.927473,1,381
